ipid;name;lange_bahntunnel;1_inbetr_jahr_bahntunnel;tunnelsystem;bemerkung;linie;km_go;kanton;geopos
1075194.0;Tunnel de Taubenloch 4 ( 042 );163.0;1874;1-Röhre / 1-Spur;;225;39.627;Bern;47.17161025996647, 7.251611540605858
513175.0;Tunnel de la Verrerie (068);456.0;1877;1-Röhre / 1-Spur;;226;70.564;Bern;47.26518748108243, 7.356326274312651
513215.0;Tunnel de Moutier 1 (048);31.0;1876;1-Röhre / 1-Spur;;226;73.806;Bern;47.28384117465259, 7.381420679527175
513339.0;Tunnel de Moutier 9 (056);13.0;1876;1-Röhre / 1-Spur;;226;75.133;Bern;47.29542518481347, 7.379622203863863
1075172.0;Tunnel de Malvie ( 065 );213.0;1877;1-Röhre / 1-Spur;;240;100.582;Jura;47.36017024705972, 7.173127267552553
595860.0;Mühletaltunnel (012);400.0;1860;1-Röhre / 2-Spuren;;250;78.827;Fribourg;46.86378602034899, 7.264683930880816
272204.0;Tunnel de Villangeaux (047);424.0;1876;1-Röhre / 1-Spur;;251;33.809;Fribourg;46.63808903471207, 6.808403304811752
2790893.0;Birchiwaldtunnel;39.0;2003;1-Röhre / 2-Spuren;;400;17.147;Bern;47.063486580928696, 7.556730893958258
2821649.0;Oenzbergtunnel;3155.0;2004;1-Röhre / 2-Spuren;;400;34.549;Solothurn;47.19094212405044, 7.66900970516264
1856658.0;Mühlefluhtunnel BL;60.0;1857;1-Röhre / 1-Spur;;503;29.915;Basel-Landschaft;47.3998564289536, 7.8522439984125825
2784110.0;Ob. Hauensteintunnel;2495.0;1857;1-Röhre / 1-Spur;;503;32.245;Solothurn;47.380774629989624, 7.864881328896256
124717.0;Luzerner Stadttunnel;2092.0;1897;1-Röhre / 1-Spur;;570;4.354;Luzern;47.05836459228068, 8.317756375683766
13601245.0;Galleria di base del Ceneri;15530.0;2020;2-Röhren / 2 x 1-Spur;;580;228.14;Ticino;46.15197105150205, 8.9881259757938
2575393.0;Gotthard-Basistunnel;57363.0;2016;2-Röhren / 2 x 1-Spur;;594;256.455;Ticino;46.37489000050978, 8.92169097050503
323166.0;Hochfluhtunnel;584.0;1882;1-Röhre / 1-Spur;;600;22.146;Schwyz;46.98559232791038, 8.612187941786253
323458.0;Franziskustunnel;193.0;1882;1-Röhre / 1-Spur;;600;22.943;Schwyz;46.97851547061832, 8.61110461659936
124700.0;Sulzeggtunnel;128.0;1882;1-Röhre / 1-Spur;;600;30.255;Uri;46.91880904495963, 8.622514383677725
124487.0;Neue Gruonbachgalerie re. G200;98.0;1943;1-Röhre / 1-Spur;;600;30.679;Uri;46.9154267413726, 8.623292181748933
796807.0;Zgraggentaltunnel;70.0;1882;1-Röhre / 2-Spuren;;600;50.943;Uri;46.754630878808584, 8.643706546921305
1479011.0;Untere Entschigtalgalerie;185.0;1882;1-Röhre / 2-Spuren;;600;62.982;Uri;46.70349064199053, 8.59796721808941
1479018.0;Strahllochtunnel;40.0;1882;1-Röhre / 2-Spuren;;600;64.123;Uri;46.712028117195345, 8.603539886069328
1496130.0;Naxbergtunnel;1570.0;1882;1-Röhre / 2-Spuren;;600;67.699;Uri;46.689804169233824, 8.587797112626744
624490.0;Gotthardtunnel;15000.0;1882;1-Röhre / 2-Spuren;;600;77.397;Uri;46.60342987142431, 8.594509386817462
70081.0;Galleria Dazio;354.0;1882;1-Röhre / 2-Spuren;;600;98.829;Ticino;46.49127324308278, 8.751300152726257
1268640.0;Galleria Polmengo;304.0;1882;1-Röhre / 2-Spuren;;600;105.012;Ticino;46.487934490942806, 8.779849676830235
1296558.0;Galleria Tourniquet;72.0;1882;1-Röhre / 2-Spuren;;600;117.011;Ticino;46.42267478779489, 8.856600834906962
1296627.0;Galleria Travi;1547.0;1882;1-Röhre / 2-Spuren;;600;118.661;Ticino;46.421774268181004, 8.86483965898878
1067994.0;Galleria Svitto;291.0;1874;1-Röhre / 2-Spuren;;600;151.463;Ticino;46.191468772447784, 9.024749437634092
795109.0;Galleria Molincero;75.0;1882;1-Röhre / 2-Spuren;;600;170.793;Ticino;46.078338891767395, 8.924780921325002
1752672.0;Galleria San Martino;53.0;1874;1-Röhre / 2-Spuren;;600;184.336;Ticino;45.980201852255014, 8.95599396659085
1783579.0;Galleria Maroggia;570.0;1874;1-Röhre / 2-Spuren;;600;189.829;Ticino;45.9415336600926, 8.967375570302835
124675.0;Galleria Precassino-Meggiagra;713.0;1934;1-Röhre / 1-Spur;;606;160.509;Ticino;46.143024799950545, 8.954447273530834
709960.0;Aarauer Stadttunnel II Süd;615.0;1993;1-Röhre / 2-Spuren;;650;42.018;Aargau;47.38911998508106, 8.045275702006638
12083128.0;Tunnel Eppenberg;3114.0;2020;1-Röhre / 2-Spuren;;650;45.767;Solothurn;47.36942343474066, 8.008762910976353
13357963.0;Doppelspurtunnel Bözberg;2693.0;2020;1-Röhre / 2-Spuren;;700;40.703;Aargau;47.46460670382641, 8.115673176075035
10859399.0;Seebahntunnel;97.0;2001;1-Röhre / 1-Spur;;722;1.523;Zürich;47.380611108936314, 8.524294353569251
10241273.0;Tunnel Bahnhof Löwenstrasse;584.0;2012;Andere;;748;200.733;Zürich;47.37770614199242, 8.537246124876544
10804046.0;Zürich Weinbergtunnel;4977.0;2014;1-Röhre / 2-Spuren;;748;201.974;Zürich;47.37730501558644, 8.55249816820313
1417190.0;Opfikontunnel II;302.0;1980;1-Röhre / 2-Spuren;;750;7.247;Zürich;47.43041653924554, 8.562616002386273
1179899.0;Jonaschluchttunnel;31.0;1876;1-Röhre / 1-Spur;;754;38.256;Zürich;47.28337837984223, 8.91683605526899
1472332.0;Fischerhölzlitunnel;112.0;1897;1-Röhre / 1-Spur;;770;38.159;Schaffhausen;47.67740197531574, 8.607363774546755
1472349.0;Neuhausertunnel;143.0;1897;1-Röhre / 1-Spur;;770;39.222;Schaffhausen;47.679292413533474, 8.619154202674578
3481220.0;Emmersbergtunnel;760.0;1895;1-Röhre / 1-Spur;;820;47.987;Schaffhausen;47.70059471806778, 8.6404878817593
1472205.0;Biberlikopftunnel;289.0;1966;1-Röhre / 2-Spuren;;890;32.858;St.AuslandGallen;47.13146445495739, 9.067035659975721
